year,benefits,health,education,defence,police,transport,housing,aid
1955-56,0.9,0.5,0.5,1.5,--,--,--,--
1956-57,1,0.6,0.6,1.6,--,--,--,--
1957-58,1.1,0.6,0.7,1.5,--,--,--,--
1958-59,1.3,0.7,0.8,1.5,--,--,--,--
1959-60,1.4,0.7,0.8,1.5,--,--,--,--
1960-61,1.4,0.8,0.9,1.6,--,--,--,--
1961-62,1.7,0.9,1,1.7,--,--,--,--
1962-63,1.7,0.9,1.2,1.8,--,--,--,--
1963-64,2,1,1.3,1.8,--,--,--,--
1964-65,2.1,1.1,1.4,1.9,--,--,--,--
1965-66,2.4,1.2,1.6,2,--,--,--,--
1966-67,2.6,1.4,1.7,2.2,--,--,--,--
1967-68,2.9,1.5,1.9,2.3,--,--,--,--
1968-69,3.3,1.6,2.1,2.3,--,--,--,--
1969-70,3.5,1.7,2.2,2.2,--,--,--,--
1970-71,3.7,1.9,2.5,2.4,--,--,--,0.2
1971-72,4.3,2.2,2.9,2.7,--,--,--,0.2
1972-73,5.1,2.5,3.4,3,--,--,--,0.2
1973-74,5.7,3,4,3.5,--,--,--,0.3
1974-75,7.1,3.9,5,4.2,--,--,--,0.3
1975-76,9.6,5.1,6.6,5.2,--,--,--,0.4
1976-77,11.4,5.9,7.3,6.1,--,--,--,0.5
1977-78,13.8,6.6,8.2,6.7,--,--,--,0.7
1978-79,16.4,7.5,9.5,7.7,2.6,2.9,5,0.8
1979-80,19.4,9,10.9,9.5,3.2,3.5,6.3,1
1980-81,23.4,11,13.3,11.6,4,4.1,6.3,0.9
1981-82,28.6,12.5,14.4,12.9,4.6,4.6,4.7,1.1
1982-83,32.6,13.5,15.6,14.8,5.2,5.1,4.3,1
1983-84,36.4,14.5,16.4,15.9,5.7,5.1,4.9,1.1
1984-85,39.5,15.4,17,17.6,6.4,6.4,5,1.1
1985-86,43.1,16.5,17.6,18.4,6.6,6.5,4.6,1.2
1986-87,46.3,17.9,19.3,18.6,7.2,6.4,4.5,1.2
1987-88,48.2,20.5,21.2,19.1,8.1,6.4,4.6,1.2
1988-89,48.8,22.7,23.1,19.4,9,6.3,3.6,1.5
1989-90,51.9,24.4,25.9,21,10.3,7.3,5.3,1.6
1990-91,58.3,27.1,28.1,22,11.7,8.3,6,1.6
1991-92,68.4,30.9,31.3,23.2,13.2,9.2,6.8,1.8
1992-93,77.7,34.2,33.2,23.8,14.4,10.8,7.1,1.9
1993-94,85,36.6,34.7,23.5,15,10,6.2,2
1994-95,87.6,39.4,36.2,23.3,15.6,11.5,6.2,2.1
1995-96,91.5,41.4,37,22.5,16,10.9,6,2
1996-97,95.1,42.8,37.8,22.1,16.4,9.5,5.7,2.1
1997-98,96.3,44.5,38.6,21.7,17.1,8.7,4.9,2.2
1998-99,98.7,46.9,40,24.5,18,7.8,5.5,2.3
1999-00,103.4,49.4,42.2,25.1,18.4,7.9,4.7,2.3
2000-01,109.3,54.2,45.9,25.7,20.4,9,5.5,3
2001-02,116,59.8,51.2,25.4,23.1,11.3,6.2,3.2
2002-03,120.6,66.2,54.7,27,24.4,14.8,5.4,3.4
2003-04,132.2,74.9,61,28.8,26.4,16.3,6.7,4
2004-05,140.4,82.9,65.1,29.8,28.5,16,8,4.7
2005-06,147.3,89.8,69.8,31,29.3,17,10.7,6.1
2006-07,152.4,94.7,73,32.2,30.4,19.9,11.5,6.3
2007-08,176.5,101.1,78.7,33.7,31.7,20.6,13,5.3
2008-09,175.9,108.7,83,36.8,33.7,21,15.3,6.6
2009-10,192.8,116.9,88.5,37.7,34.1,23,16.3,7.6
2010-11,199.9,119.9,91.5,39.3,33.1,21.5,13.3,8.6
2011-12,206.2,121.3,86.5,38.7,32.1,20.4,10.2,8.7
2012-13,214,124.3,84.1,36.3,31.3,20.2,10,9.5
2013-14,210.7,129.4,84.7,36.4,29.6,20.8,9.9,11.5
2014-15,215.2,134.1,85.1,36.7,30.2,22,10.3,11.8
2015-16,217.9,138.5,84.9,36.6,30.2,27.9,9.8,12.4
2016-17,218.8,142.6,84.9,37.1,30.1,28.8,10.3,13.5
2017-18,220.9,147.3,86.1,38.7,31.5,30.3,11.4,14.2
2018-19,224.4,152.9,88.1,40.2,32.4,32.7,12.1,14.7
2019-20,229.1,164.1,90.6,42.2,34.5,34.4,14.2,15
2020-21,250.9,218.6,95.5,44.6,38.9,49.4,13.7,13.7
2021-22,250.1,216.2,100.1,48.7,39.8,44.7,15.2,11.8
2022-23,258.7,211.6,105.5,55.5,43.9,43.6,17.8,
