month,height,avg_weight,sun
April,104.8,196.0,0.66
May,109.8,208.7,0.71
April,102.1,198.0,0.66
June,115.8,223.4,0.76
June,124.7,240.6,0.81
May,124.0,240.6,0.81
April,98.0,188.2,0.64
May,120.4,216.8,0.73
May,112.7,202.9,0.69
May,121.8,240.0,0.80
June,107.0,198.0,0.66
May,106.1,205.8,0.70
June,108.2,210.9,0.71
April,92.8,176.4,0.60
June,121.5,243.0,0.81
April,94.6,174.0,0.58
June,102.8,186.0,0.62
May,100.1,193.1,0.65
May,116.2,213.8,0.72
May,116.6,216.8,0.73
April,103.3,186.0,0.62
May,112.1,213.0,0.71
May,119.7,219.0,0.73
April,101.6,194.0,0.66
April,114.1,219.0,0.73
April,111.4,213.8,0.72
April,93.6,172.3,0.58
April,116.9,225.7,0.76
June,112.9,216.8,0.73
May,133.9,241.1,0.82
June,117.8,225.0,0.75
April,118.3,217.6,0.74
June,118.1,222.0,0.74
June,90.6,181.2,0.61
May,96.8,183.0,0.61
June,120.5,220.5,0.75
June,117.9,231.0,0.77
June,123.2,231.7,0.78
April,94.0,185.2,0.63
May,91.4,178.2,0.60
April,94.7,175.2,0.59
April,124.1,223.4,0.76
June,123.5,231.0,0.77
May,103.8,189.0,0.63
May,123.7,226.4,0.77
May,112.0,222.8,0.75
April,119.1,237.0,0.79
April,129.0,240.0,0.80
May,107.9,204.0,0.68
April,96.8,183.0,0.61
May,118.5,216.8,0.73
June,97.9,181.2,0.61
May,125.7,228.7,0.77
May,112.1,204.0,0.68
May,114.2,225.0,0.75
June,109.4,198.0,0.66
June,92.7,175.2,0.59
April,116.1,226.4,0.77
May,120.0,240.0,0.80
April,110.0,207.9,0.70
May,125.7,237.6,0.80
April,97.9,186.0,0.62
June,123.1,235.2,0.80
May,118.7,216.0,0.72
April,119.1,237.0,0.79
June,108.2,210.9,0.71
June,106.1,205.8,0.70
June,102.6,195.0,0.65
June,102.6,198.0,0.66
June,122.2,234.6,0.79
April,88.9,177.0,0.59
April,125.1,235.2,0.80
June,106.2,202.9,0.69
June,112.5,205.8,0.70
May,97.5,194.0,0.66
May,89.0,173.5,0.59
May,103.7,194.0,0.66
June,113.7,220.5,0.75
May,104.1,202.9,0.69
June,106.2,191.1,0.65
April,113.3,217.6,0.74
April,114.5,217.6,0.74
April,99.1,182.3,0.62
June,86.4,167.6,0.57
June,108.9,216.8,0.73
June,120.0,237.6,0.80
April,94.7,175.2,0.59
April,112.7,213.0,0.71
May,104.2,197.0,0.67
June,86.6,172.3,0.58
April,91.9,179.3,0.61
April,109.5,216.8,0.73
April,95.5,185.2,0.63
April,100.1,191.1,0.65
April,110.6,219.0,0.73
May,100.6,190.1,0.64
April,128.5,235.2,0.80
May,113.3,222.0,0.74
June,125.3,240.6,0.81
June,108.7,208.7,0.71
April,112.8,208.7,0.71
May,112.1,213.0,0.71
May,118.1,213.8,0.72
May,104.9,208.7,0.71
June,105.9,197.0,0.67
April,95.2,172.3,0.58
April,127.1,235.2,0.80
April,93.8,173.5,0.59
May,90.6,179.3,0.61
April,100.5,194.0,0.66
June,109.8,201.0,0.67
June,118.2,235.2,0.80
May,109.4,210.0,0.70
April,89.0,173.5,0.59
April,96.0,190.1,0.64
June,106.7,204.9,0.69
June,126.7,229.3,0.78
May,101.0,199.0,0.67
June,118.8,213.8,0.72
June,100.1,185.2,0.63
April,91.2,177.0,0.59
May,103.8,192.0,0.64
April,98.4,184.1,0.62
April,117.3,226.4,0.77
June,116.0,225.0,0.75
April,118.4,225.0,0.75
June,127.7,237.6,0.80
April,91.4,171.0,0.57
May,122.2,231.0,0.77
June,100.5,183.0,0.61
May,104.8,196.0,0.66
April,101.1,187.1,0.63
May,89.1,176.4,0.60
May,95.5,191.1,0.65
June,112.0,204.9,0.69
April,89.2,174.0,0.58
May,105.3,197.0,0.67
June,126.8,234.6,0.79
June,110.9,204.0,0.68
May,116.9,219.8,0.74
June,102.9,185.2,0.63
June,114.3,226.4,0.77
May,120.6,240.0,0.80
April,129.4,238.1,0.81
June,95.1,188.2,0.64
May,106.5,210.9,0.71
May,119.1,222.8,0.75
June,123.4,240.6,0.81
May,111.0,210.9,0.71
May,110.8,220.5,0.75
April,125.1,234.0,0.78
June,131.6,246.0,0.82
April,107.0,208.7,0.71
June,90.3,177.0,0.59
June,118.3,213.0,0.71
April,91.1,167.6,0.57
April,112.5,225.0,0.75
May,100.1,188.2,0.64
May,92.4,171.0,0.57
April,116.4,213.0,0.71
April,118.8,213.8,0.72
June,104.5,205.8,0.70
June,127.9,234.0,0.78
June,129.5,243.5,0.82
May,89.4,175.2,0.59
June,95.5,191.1,0.65
June,98.4,186.0,0.62
May,87.0,174.0,0.58
May,123.0,246.0,0.82
April,117.0,234.0,0.78
June,118.3,217.6,0.74
April,102.8,186.0,0.62
June,93.4,183.0,0.61
May,129.5,237.0,0.79
April,105.4,195.0,0.65
May,104.3,208.7,0.71
June,94.2,172.3,0.58
May,92.8,178.2,0.60
June,96.0,185.2,0.63
May,103.3,189.0,0.63
May,103.2,196.0,0.66
June,116.4,213.0,0.71
April,125.7,240.0,0.80
April,120.2,217.6,0.74
June,90.9,180.0,0.60
May,118.4,219.0,0.73
April,92.4,171.0,0.57
May,99.0,196.0,0.66
April,133.8,243.5,0.82
April,97.0,192.0,0.64
June,123.7,240.0,0.80
June,100.1,185.2,0.63
May,108.2,199.0,0.67
April,101.5,202.0,0.68
June,108.4,207.0,0.69
June,105.4,194.0,0.66
April,101.5,197.0,0.67
April,121.6,231.0,0.77
April,87.9,174.0,0.58
June,123.6,241.1,0.82
April,93.8,183.0,0.61
April,102.7,192.0,0.64
May,109.3,210.9,0.71
June,128.0,238.1,0.81
April,115.5,231.0,0.77
April,111.0,202.0,0.68
April,121.9,228.0,0.76
June,121.8,220.5,0.75
May,102.1,194.0,0.66
May,88.1,171.0,0.57
May,92.4,181.2,0.61
May,109.3,208.7,0.71
April,107.7,196.0,0.66
April,111.9,220.5,0.75
May,104.6,204.0,0.68
June,101.0,194.0,0.66
April,98.5,188.2,0.64
April,126.8,234.6,0.79
May,94.0,187.1,0.63
June,93.4,183.0,0.61
May,93.9,179.3,0.61
May,101.1,190.1,0.64
April,100.0,198.0,0.66
April,124.3,241.1,0.82
May,123.9,228.0,0.76
May,122.2,234.6,0.79
June,95.4,182.3,0.62
May,119.4,231.7,0.78
June,109.4,210.0,0.70
May,96.4,179.3,0.61
June,120.5,220.5,0.75
May,124.2,231.0,0.77
April,99.5,184.1,0.62
June,126.1,237.0,0.79
May,100.5,198.0,0.66
June,104.9,208.7,0.71
June,117.9,234.6,0.79
April,112.5,213.8,0.72
May,118.5,222.8,0.75
May,128.4,237.6,0.80
June,113.1,225.0,0.75
April,100.1,193.1,0.65
April,100.6,190.1,0.64
April,119.0,238.1,0.81
May,113.4,223.4,0.76
June,114.4,222.0,0.74
April,119.4,235.2,0.80
April,102.1,199.0,0.67
June,122.8,240.6,0.81
May,127.8,235.2,0.80
June,92.1,174.0,0.58
April,98.9,180.0,0.60
April,128.9,234.6,0.79
April,117.9,220.5,0.75
April,99.0,194.0,0.66
April,103.8,189.0,0.63
April,122.5,237.6,0.80
June,109.8,199.9,0.68
May,120.6,228.0,0.76
May,105.6,191.1,0.65
May,117.9,232.3,0.79
May,126.0,238.1,0.81
May,107.4,213.8,0.72
May,92.7,175.2,0.59
June,120.4,232.3,0.79
May,101.0,198.0,0.66
June,89.8,175.2,0.59
May,103.5,207.0,0.69
June,115.4,214.6,0.73
April,102.7,193.1,0.65
April,125.0,228.7,0.77
May,119.2,220.5,0.75
June,117.6,234.0,0.78
June,126.6,231.7,0.78
April,133.1,243.5,0.82
April,110.9,213.0,0.71
April,101.0,199.9,0.68
June,104.3,192.0,0.64
June,113.1,216.0,0.72
May,115.3,208.7,0.71
April,107.7,207.9,0.70
April,100.1,181.2,0.61
May,127.9,243.0,0.81
May,117.2,225.0,0.75
June,114.2,225.0,0.75
May,106.5,213.0,0.71
April,94.0,182.3,0.62
May,112.3,210.0,0.70
May,119.1,232.3,0.79
May,121.9,235.2,0.80
May,114.5,213.0,0.71
April,101.7,187.1,0.63
April,93.9,179.3,0.61
May,127.4,229.3,0.78
May,92.0,181.2,0.61
April,125.1,235.2,0.80
April,112.2,208.7,0.71
April,88.3,174.0,0.58
April,100.1,188.2,0.64
June,121.0,228.7,0.77
